time,ROI-001,ROI-002,ROI-003,ROI-004,ROI-005
40,-0.501,0.56,-0.913,1.421,-0.435
41,-0.376,0.233,0.017,-1.389,-0.372
42,-0.633,-0.242,-0.072,-0.379,-0.543
43,1.356,0.51,0.149,0.339,1.435
44,0.278,-0.041,0.704,-0.334,-0.606
45,1.137,-0.994,-1.276,0.215,-0.414
46,-0.935,0.622,-0.896,0.052,0.369
47,-0.126,-1.969,1.413,0.852,0.421
48,-0.259,0.876,2.201,0.07,-0.548
49,-0.308,0.812,0.332,0.665,0.587
50,0.214,0.708,-0.06,0.923,-0.666
51,-0.191,-1.454,0.024,-0.413,-0.734
52,-0.782,-0.798,2.265,-1.297,-0.757
53,0.129,-1.18,0.202,1.504,-2.028
54,-0.669,-0.45,0.315,-0.558,0.035
55,0.76,-0.304,-0.401,-0.51,1.152
56,-1.518,0.557,-0.534,0.336,2.133
57,1.149,-1.118,-0.517,1.144,-1.255
58,-1.254,-2.286,1.164,-0.637,0.831
59,0.023,-1.191,0.18,-2.242,-0.094
60,1.813,2.094,-0.075,-1.261,0.121
61,0.125,-0.132,-0.05,0.792,-0.663
62,-0.382,0.699,0.314,0.304,-1.041
63,-0.091,1.865,0.021,1.283,-0.596
64,0.337,1.289,-2.161,0.45,-0.364
65,0.295,1.072,-0.428,-0.386,-0.621
66,-0.832,-1.517,0.608,0.591,0.151
67,0.063,0.487,1.24,-0.378,0.728
68,0.223,0.855,-0.247,-0.778,0.746
69,-0.265,1.172,-0.31,-0.541,-0.16
70,-0.705,0.921,-1.067,-1.228,0.611
71,-1.005,-0.187,-0.129,0.637,1.079
72,0.975,1.767,-0.662,0.071,0.915
73,-2.631,-0.114,-0.321,-0.239,1.487
74,0.15,-0.725,-0.667,-0.057,-1.5
75,1.366,-0.708,0.112,0.45,1.069
76,-1.023,0.169,0.538,1.041,-0.676
77,0.391,-1.312,0.975,0.322,0.355
78,0.342,0.294,-0.883,1.002,-0.953
79,-0.425,-0.205,-1.235,0.486,-2.636
80,1.465,-1.155,-0.943,-1.249,0.59
81,0.024,0.03,1.158,1.797,0.917
82,0.375,-0.879,0.749,-0.328,-0.077
83,1.964,-0.992,0.684,0.217,-0.766
84,-1.01,-1.384,0.317,-0.779,-0.12
85,-0.169,-1.365,0.101,0.812,-1.111
86,0.685,0.039,2.2,-1.062,1.062
87,0.563,0.668,-0.142,-0.095,0.952
88,0.593,1.494,-2.22,-0.526,-1.486
89,-0.262,-1.28,0.015,1.147,-0.111
90,-0.422,-1.003,2.329,-0.201,-2.377
91,1.271,-0.668,0.701,-1.939,-0.827
92,0.247,0.284,0.301,0.421,-0.292
93,-1.21,0.471,0.74,-0.349,-0.614
94,0.895,2.776,-1.17,1.069,-1.243
95,0.984,0.25,0.474,1.691,1.408
96,0.452,-1.382,0.012,1.293,1.17
97,-1.308,0.293,-0.367,0.312,0.188
98,0.39,-0.017,0.657,-0.005,-1.08
99,0.684,0.058,0.456,0.089,-1.325
100,0.481,0.567,0.004,-1.878,-1.852
101,-0.041,-0.23,-1.276,2.403,1.197
102,0.574,0.144,-0.382,-0.198,0.364
103,-2.03,0.503,0.243,0.821,0.615
104,-0.674,-0.209,0.724,0.276,-0.862
105,1.131,0.459,-1.118,0.484,-0.392
106,-1.425,-0.933,-0.377,0.653,-1.072
107,-1.364,0.424,-2.243,-1.114,-0.144
108,-1.212,-0.887,1.334,0.688,0.143
109,-1.563,0.598,0.308,1.429,0.195
110,-0.356,1.191,2.856,2.2,-0.562
111,-0.053,-0.776,-1.455,-0.392,-0.143
112,-2.145,-1.029,-0.411,1.56,0.082
113,0.725,0.872,2.399,-0.055,0.867
114,0.831,-0.308,0.381,-0.232,-2.183
115,-0.708,-0.643,1.189,-3.164,1.082
116,0.205,-0.443,1.479,-1.302,0.152
117,1.231,-0.2,-0.765,-1.631,-0.695
118,-1.008,-1.686,-1.342,-0.199,0.108
119,1.395,0.641,1.586,-0.087,0.401
120,-0.532,0.644,0.711,-0.111,-0.114
121,-0.054,-0.143,-0.748,0.486,0.747
122,-0.574,-1.049,-0.322,0.246,-1.108
123,-0.709,0.19,-1.509,-0.408,-1.123
124,0.122,-1.089,0.738,-0.852,-1.21
125,0.183,-2.16,0.133,0.058,0.142
126,-0.921,-0.325,0.428,-0.988,2.129
127,0.128,-1.423,1.221,-0.725,-0.776
128,0.072,0.579,-0.005,-0.884,2.007
129,-0.366,0.302,1.074,0.076,-0.114
130,-0.689,-1.003,-0.388,-0.074,-0.718
131,0.585,0.513,1.058,-1.572,0.819
132,0.359,-1.34,1.459,-1.19,-0.736
133,0.26,0.631,-0.427,1.9,0.937
134,0.087,-0.349,-0.436,0.995,-0.75
135,1.485,-0.067,-0.694,-1.03,-1.653
136,2.704,0.45,-0.381,-0.373,-0.752
137,-1.747,-0.889,0.078,0.087,0.273
138,0.464,-1.325,0.545,0.486,-0.398
139,-1.017,0.04,1.743,-0.577,-0.179
140,0.302,0.871,0.203,0.054,-0.899
141,-1.626,-1.687,0.254,0.47,0.886
142,0.819,0.124,0.039,0.84,1.729
143,0.368,-0.194,-0.331,-1.208,0.116
144,-0.618,-0.565,-1.325,-0.507,0.872
145,-0.405,2.613,0.115,-0.033,-0.818
146,-0.508,-2.494,-0.283,0.163,-0.546
147,1.94,-0.543,1.212,0.378,-1.161
148,-1.696,0.01,-2.687,-0.904,-0.002
149,-1.642,1.994,-1.339,0.049,-0.813
150,1.532,0.141,-0.389,-1.078,-1.581
151,-0.885,-1.569,2.313,-0.123,0.554
152,-0.459,-0.712,-0.198,-0.465,-0.391
153,-0.193,-0.723,0.136,-1.183,-0.373
154,0.318,-2.069,-0.673,1.922,0.904
155,-0.008,0.045,-1.305,1.279,0.468
156,-0.905,1.2,1.733,-0.182,0.092
157,0.89,-1.424,0.772,-1.702,-1.102
158,-0.186,0.624,-0.036,-0.801,-1.55
159,1.659,-0.14,-1.564,0.441,0.249
160,0.68,0.191,-0.149,-1.234,1.287
161,0.966,0.834,1.303,0.694,0.427
162,0.281,0.892,-0.379,0.085,-2.031
163,1.433,0.234,0.413,0.219,-2.471
164,-0.766,-2.111,-1.374,0.097,-1.992
165,1.405,1.399,2.068,-0.274,0.639
166,-0.459,1.181,0.603,-0.753,1.551
167,0.728,0.468,-1.48,-1.603,-1.009
168,-0.783,0.332,-1.75,-0.915,1.478
169,0.423,-0.066,-0.358,0.874,1.839
170,2.224,-0.729,0.822,0.868,-2.744
171,-0.259,1.006,1.095,1.002,2.317
172,-0.452,0.898,-0.304,-0.393,-0.393
173,-1.903,-1.199,-0.927,1.727,0.828
174,-0.373,0.142,-0.266,0.486,-1.059
175,-0.198,1.003,1.339,-0.149,-0.534
176,-0.173,0.928,0.717,0.277,-0.389
177,0.566,0.982,-0.521,-0.745,1.016
178,1.028,-1.013,0.452,-1.088,0.626
179,-0.318,0.84,-1.039,-1.722,1.042
180,1.751,0.38,0.774,0.392,-0.463
181,0.914,-0.906,-0.175,0.519,0.572
182,-1.195,-0.35,-1.039,1.043,-0.489
183,-0.539,-2.152,1.064,0.078,1.495
184,0.46,0.574,-0.68,1.452,0.451
185,-0.528,0.277,-0.788,0.334,0.006
186,0.913,-0.756,-1.205,-1.277,-0.027
187,-0.303,0.45,-1.776,0.13,0.527
188,-0.111,-0.512,-1.524,1.385,1.053
189,-0.699,0.513,0.999,0.483,-1.559
190,0.231,-0.271,0.211,0.29,-1.656
191,-1.191,0.476,-0.806,-0.109,-0.399
192,1.467,0.004,0.753,-0.75,1.543
193,-1.464,-0.214,-0.339,-0.539,-0.406
194,-0.845,-0.703,0.269,-0.096,-0.012
195,-0.509,0.691,2.353,-0.643,0.603
196,-0.71,-0.411,-1.763,-0.923,-1.62
197,-1.495,0.194,0.825,1.654,-0.319
198,1.107,-0.564,-0.682,1.072,-1.439
199,-0.812,-0.992,-0.062,1.13,-1.034
200,-0.444,-1.832,-1.659,2.517,0.022
