time,ROI-001,ROI-002,ROI-003,ROI-004,ROI-005
46,-0.2,-1.472,-0.815,0.418,1.031
47,-0.438,2.125,0.717,0.2,0.565
48,2.006,0.9,-0.657,0.713,-0.205
49,-0.896,-0.291,-0.58,1.044,-1.216
50,0.199,-0.357,-1.225,-1.872,-0.029
51,-0.359,0.467,0.328,1.478,1.041
52,-0.109,0.129,0.978,-0.06,-2.345
53,-0.758,-1.424,0.499,0.554,1.406
54,-0.353,-0.111,0.538,1.719,-0.929
55,0.096,1.142,-0.518,-0.865,0.831
56,0.538,-0.122,1.087,-0.934,-1.061
57,-0.678,-0.359,-0.515,0.51,0.045
58,0.074,-0.348,0.13,-1.41,-0.541
59,-0.382,-0.05,1.173,1.006,0.724
60,0.509,2.167,-0.141,1.15,-0.587
61,1.254,0.529,1.394,-0.246,-2.419
62,-1.784,0.197,-1.165,0.116,-1.642
63,-0.928,-0.097,0.369,0.279,0.99
64,0.483,-1.883,-1.158,-0.242,0.69
65,2.136,0.113,0.804,1.078,1.297
66,-0.333,3.086,-0.163,0.628,0.589
67,0.978,2.143,0.431,1.13,0.521
68,1.943,0.663,-0.375,-0.105,-0.51
69,0.891,-1.487,-0.62,2.278,-0.049
70,0.831,1.056,0.192,-1.129,-1.504
71,-0.24,-2.473,-0.54,0.64,-1.512
72,-1.495,-0.733,-1.584,1.224,-0.262
73,-1.836,0.474,0.126,0.663,1.16
74,-0.235,-0.765,-0.462,0.574,0.906
75,0.586,-0.874,-1.105,-0.897,-1.532
76,0.629,-0.957,-1.083,0.712,-0.275
77,-1.701,-0.622,-2.363,-1.36,0.055
78,0.14,0.497,-0.088,-0.056,-2.071
79,-0.791,1.554,2.305,0.28,-0.163
80,-0.027,-1.327,-1.242,0.346,0.306
81,-2.112,1.007,0.319,-0.296,0.856
82,-0.31,-0.2,-2.139,-2.124,1.63
83,-1.203,-0.283,-0.056,-0.588,1.161
84,1.645,-1.269,1.5,0.649,-0.164
85,1.303,0.89,1.167,-1.427,0.741
86,0.096,-1.072,-0.569,0.343,0.298
87,0.421,2.034,0.558,-0.123,-0.253
88,1.113,-0.016,0.166,-1.671,0.667
89,0.495,-0.032,-1.099,-0.405,1.384
90,0.629,0.668,-0.689,0.775,0.066
91,-2.83,-0.387,0.838,0.594,1.603
92,-0.594,-0.758,-2.502,0.362,-0.976
93,-0.366,-0.073,-0.412,0.652,0.47
94,0.03,0.541,-0.26,-0.787,0.488
95,0.627,-0.201,0.183,-0.186,-0.368
96,-0.691,-0.401,1.615,-1.63,0.005
97,-1.314,-0.206,-0.401,-0.209,-0.371
98,1.852,0.163,1.734,0.921,1.091
99,-0.767,-0.197,1.092,-0.071,-1.993
100,0.416,0.736,1.563,0.734,0.128
101,-1.541,-1.291,-0.678,-1.297,-0.1
102,-0.208,0.367,-0.769,-1.143,-0.334
103,-1.144,-0.576,2.037,-0.866,-1.851
104,-1.27,-0.357,-1.664,2.358,-1.13
105,-1.74,-0.533,0.029,-1.04,0.305
106,-1.701,-0.311,1.074,-0.545,-1.008
107,0.221,1.205,0.257,-0.188,-0.389
108,1.785,-0.135,-1.34,0.197,0.762
109,1.517,-0.869,-0.625,1.592,-0.488
110,0.283,0.162,-1.186,0.896,-0.191
111,-1.133,-0.096,0.133,1.617,-0.911
112,0.351,-0.558,0.753,-0.049,-0.245
113,0.045,-2.12,0.982,0.19,1.216
114,0.602,0.169,-1.23,1.104,-0.639
115,-1.672,-1.054,-1.271,-0.215,-0.644
116,0.455,0.166,0.836,2.622,0.978
117,-0.801,0.528,-0.485,-1.926,0.189
118,0.428,-1.129,0.885,-1.923,-0.14
119,0.123,2.173,-0.334,-0.204,1.94
120,0.563,0.768,-0.031,-0.163,-2.844
121,-0.588,-2.04,0.732,0.725,0.351
122,-0.088,-1.61,-0.198,-0.036,-0.162
123,-1.523,2.304,0.278,0.909,-0.769
124,-0.437,-0.793,-0.253,0.608,0.023
125,-0.185,0.848,1.332,-0.691,0.956
126,0.133,-1.826,-1.667,0.115,-2.118
127,1.082,0.011,1.254,0.911,-0.963
128,-0.389,-0.446,0.473,-0.533,-0.471
129,1.828,0.555,-0.823,0.071,-1.745
130,0.277,0.356,0.356,0.28,0.164
131,-0.265,-0.434,0.228,0.712,1.476
132,0.686,0.276,-1.345,1.885,-0.627
133,0.522,-0.368,1.385,2.516,-1.396
134,-0.924,0.126,0.449,-0.483,0.81
135,0.31,-0.165,-0.873,0.189,0.768
136,-1.77,-1.206,-1.002,-2.037,0.17
137,0.094,1.284,-0.102,-0.144,0.938
138,1.913,2.098,0.226,0.983,0.679
139,-1.78,-1.745,0.743,-1.841,0.095
140,-0.987,-0.144,0.666,-0.187,-1.11
141,-2.354,0.715,0.524,1.491,1.195
142,-0.142,-1.163,-0.314,0.502,-1.28
143,0.087,0.451,0.469,-0.53,-1.056
144,1.158,1.019,0.634,2.515,1.237
145,0.616,0.557,0.7,-0.656,-1.122
146,1.469,1.902,1.784,-0.67,0.691
147,-0.249,0.417,1.372,0.761,0.104
148,0.418,0.632,-1.885,-1.134,0.882
149,-0.419,0.633,-0.184,-0.863,0.437
150,-0.875,-0.938,-0.651,0.79,-0.148
151,0.316,-0.174,-0.932,-0.795,0.959
152,-0.142,1.089,-0.41,-0.431,-0.873
153,-0.82,0.822,0.852,-0.841,-0.617
154,-1.106,-1.803,0.862,-1.766,1.469
155,-1.556,-0.859,-1.017,-1.123,0.101
156,-0.319,-0.368,-0.702,0.783,0.182
157,-0.247,0.887,-0.566,-0.168,2.22
158,-1.271,0.723,-1.078,-0.989,-1.197
159,-0.929,-0.519,1.315,1.127,-2.116
160,0.995,1.291,-1.626,0.012,-1.352
161,-0.164,-0.026,-1.78,-1.448,0.342
162,-0.381,0.347,0.557,-1.001,-0.491
163,1.217,0.422,-1.588,2.268,0.316
164,-1.169,-0.016,2.184,-0.464,0.054
165,0.586,-1.206,1.034,-0.054,-0.498
166,0.737,-0.18,-0.123,0.899,-1.046
167,1.567,0.016,-1.046,0.486,1.861
168,-0.185,-0.762,1.19,-1.379,-0.345
169,0.479,0.267,-1.605,-0.36,0.028
170,-0.481,-0.847,-0.073,0.675,-0.294
171,1.335,1.219,-0.17,-1.557,-1.868
172,-0.648,-0.975,-0.206,0.587,-0.692
173,-0.988,-1.031,-0.362,0.246,0.149
174,-0.019,-0.036,-0.324,1.69,-0.942
175,-0.133,0.807,-0.203,-0.17,-0.839
176,-0.839,-2.457,-0.915,0.71,-1.646
177,0.482,-0.889,-0.73,0.217,0.32
178,1.811,-0.36,-0.228,-0.919,-1.302
179,-0.5,0.468,1.852,0.184,0.902
180,-0.36,0.602,-0.73,-1.009,0.243
181,0.231,-1.027,-1.228,-0.15,0.371
182,-0.483,0.583,2.159,0.163,1.168
183,0.752,1.431,-1.122,1.043,1.422
184,-0.05,1.389,0.087,1.694,-1.313
185,0.052,-0.341,-1.473,2.281,-0.621
186,2.39,-1.2,-0.567,-0.669,0.722
187,0.211,-0.07,0.17,0.669,0.603
188,0.023,0.198,-1.759,-1.429,-0.556
189,-1.146,0.705,-1.444,-0.194,-1.328
190,0.864,-0.161,-0.307,0.056,0.726
191,0.523,0.177,1.394,0.838,-0.128
192,-1.336,-1.922,2.266,-2.026,0.674
193,-0.108,-0.444,-1.253,0.135,1.432
194,0.529,0.452,-0.332,0.563,0.918
195,1.013,1.071,-0.191,-0.823,1.027
196,0.089,-0.443,-0.704,-0.836,-1.86
197,-0.444,0.703,-0.617,0.01,2.012
198,-1.201,-0.773,0.341,-0.013,-0.808
199,1.402,-0.865,-1.441,1.291,0.492
200,-0.737,1.5,-0.317,1.6,-0.092
