time,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6
32,2.1166,1.2603,0.5382,-0.3362,-0.9407,-1.428
33,0.939,0.4594,0.2525,-0.7384,-1.1968,0.2127
34,1.919,-1.2172,0.2473,0.0273,-2.0294,1.0161
35,0.6714,-0.4106,-0.3425,-1.5832,0.0207,-1.8879
36,-0.1598,0.4271,0.2375,0.2612,-0.3377,-0.8113
37,0.3558,0.6512,-2.0766,0.2227,-0.661,-0.534
38,-1.477,0.2417,0.4606,0.0288,0.3133,-1.2519
39,1.6766,-0.147,-0.1553,-0.2873,0.9121,0.2382
40,-0.3453,-0.0483,-0.0301,1.3097,-0.6868,0.234
41,1.4237,1.3341,-2.1718,0.4122,-0.2685,-0.5472
42,-0.4999,-0.6299,1.0258,0.5087,-0.9419,-0.5166
43,0.1984,0.5428,0.0252,0.5752,-1.5816,-0.0249
44,-0.5265,2.9314,0.4016,-1.4138,-1.0634,-1.6062
45,0.8144,-0.0036,0.5109,-0.829,0.8197,-1.5518
46,0.8283,0.8417,0.1455,0.5826,-1.2074,-2.307
47,-0.4043,0.1179,0.1672,-0.5015,-1.7174,-1.9002
48,1.2043,0.366,1.774,1.7024,0.0938,0.4263
49,-0.0339,-1.1383,1.6861,1.1956,-0.6887,-1.0155
50,1.2347,0.286,-1.1781,-0.7219,0.431,-0.232
51,2.7225,-1.0468,0.7132,-0.1608,-1.1073,-1.8216
52,-0.5191,1.0396,1.6841,-2.3214,-0.5043,-2.7435
53,0.2856,0.5893,-0.0509,-1.0169,-1.0347,-0.1237
54,1.7672,-0.8271,-1.5305,0.3484,-0.5708,-1.1937
55,1.0304,1.2542,-0.4937,-0.2584,-1.1556,-0.3073
56,0.976,-0.5337,0.5625,-2.2875,-0.2494,1.0316
57,-0.5055,0.3779,1.2363,0.2604,-1.2037,0.5587
58,-0.7059,-1.8684,-0.4594,-0.2693,0.066,-0.9295
59,-2.4113,-1.5419,0.9471,-0.1621,-1.4799,1.079
60,-2.5834,0.9456,1.2238,0.9354,-0.3687,-0.0725
61,-1.0693,0.2752,0.1355,-1.9222,1.0489,-0.9338
62,0.3679,0.7829,1.7275,-1.2078,-1.5184,-1.3469
63,1.5169,1.2706,-1.9043,-0.5654,-1.1649,1.0762
64,-0.6441,-0.4837,-0.9332,-1.3402,-0.449,-0.8937
65,-0.9802,-0.7152,-0.0201,-1.2357,0.0051,1.4466
66,-0.7701,-0.8538,-1.8594,0.0386,-2.1886,-0.3569
67,1.4768,-0.7328,-0.9103,-1.1819,-1.1178,-1.4009
68,1.9244,1.0206,-0.394,0.3671,-0.1899,-0.7163
69,2.6023,0.4614,-1.7922,-1.5869,-2.3734,0.4128
70,-1.5907,-1.1071,-1.2422,0.1934,0.5626,1.0806
71,1.3515,-1.6335,0.8122,-1.616,0.0166,1.6556
72,-0.5938,-1.4629,-2.5868,-1.2512,0.0712,0.2785
73,-1.4439,-0.1518,-1.3135,-0.769,-0.2602,-1.1469
74,0.5731,-2.3721,-2.452,0.5261,-0.8305,0.1547
75,0.4192,-1.2835,-0.4783,-2.3434,-0.5503,1.6921
76,-1.042,-0.3866,-1.9678,0.1671,-0.1443,0.9088
77,-0.0046,-0.7228,0.0782,0.3963,0.188,0.6018
78,-1.1151,-0.0188,-0.8416,-0.3102,0.3074,-0.8034
79,-0.0618,-2.8808,1.5605,-0.1176,-1.1757,-0.4383
80,0.4099,-0.7853,-2.1038,0.9912,0.498,-0.9595
81,-0.5672,-2.2788,0.4552,-1.0278,-0.2811,1.273
82,-1.5479,0.4591,0.0152,-1.8478,1.1179,-1.7359
83,0.8039,-0.6484,0.6635,-1.0349,-0.2841,-0.1784
84,-2.2453,0.3709,-0.1188,0.4306,-0.556,1.1762
85,-1.5227,1.2549,-0.8635,2.1649,-1.6888,1.123
86,-2.092,-0.1897,1.9168,0.5597,0.0692,0.6192
87,-0.1911,-0.5713,0.3377,-0.0639,0.7744,-0.9118
88,-0.3943,0.6386,1.4424,1.4129,-0.6927,0.4569
89,-1.4101,0.5153,1.1807,-0.5231,0.1869,-0.2797
90,-0.9808,0.7398,0.8283,-0.7056,0.9201,-0.2014
91,0.127,-0.7108,-1.9122,-1.1461,0.2013,1.8911
92,-0.9804,0.9765,0.2941,-1.7673,-0.1093,0.2479
93,-1.9399,-0.7536,1.0149,0.5399,1.2199,0.464
94,-1.5641,-0.3761,-1.6412,1.564,-0.3555,0.5411
95,0.044,0.6567,-1.0641,-1.1381,1.7358,-0.4237
96,-2.3221,-0.0069,-0.9697,-0.4758,0.3132,2.7599
97,-0.6932,0.675,-0.206,-1.2656,-0.1768,-0.3507
98,-1.3773,-0.3547,-1.1203,0.1314,0.2467,1.2582
99,-2.181,-1.5401,-1.296,-0.3311,0.5783,1.1526
100,-1.5386,0.3532,-0.0706,1.2425,0.0696,-0.5902
101,0.3582,-0.2443,-0.7316,0.5539,-0.147,-0.3457
102,-1.3294,-0.6182,1.173,0.129,-0.292,1.3662
103,-0.7051,0.3828,-0.2227,-0.6773,0.2714,-1.9629
104,-0.6812,-0.8819,-0.0991,-0.6001,-1.0324,-0.4077
105,-2.7327,-1.8576,0.3993,-0.5028,-0.1329,1.148
106,-0.5518,-0.7346,0.3297,0.3415,-0.2032,2.8173
107,-1.4846,-1.4837,0.159,0.3629,0.1935,1.615
108,-1.7865,1.9978,0.0273,2.2782,0.7265,0.741
109,-1.6801,-0.0955,-0.14,-0.2193,1.3745,-1.7651
110,0.2969,0.2455,-0.8616,-0.0417,-0.6735,-0.2937
111,-0.1774,-1.0812,0.8369,-0.1099,-0.4217,-0.0684
112,-0.6358,-0.2384,0.5987,0.2511,0.596,-0.9121
113,-0.3337,0.3434,0.26,1.6458,1.0575,1.3314
114,-0.6942,-1.0875,1.0096,0.5647,0.0896,2.4102
115,0.4033,0.2987,0.0634,2.1742,-1.0281,-0.5039
116,-0.0733,0.4759,0.3366,0.9862,0.4449,1.0024
117,1.4409,0.6826,-1.2735,-0.6107,1.4463,-0.0713
118,-1.022,0.2247,-0.3631,0.9077,-0.54,0.1605
119,-1.8764,-1.1295,0.1772,-0.8944,1.2093,0.5305
120,-1.0486,-1.657,0.1537,0.3624,0.6666,-1.449
121,-1.6216,-0.6505,0.8949,1.5557,-0.2644,0.6704
122,0.9788,0.1352,1.4001,-1.9406,-0.5215,0.5591
123,-0.2694,0.6033,0.9285,1.3621,-0.9952,0.3917
124,-1.4122,1.1923,0.8148,0.5922,0.4629,0.8278
125,0.2659,-1.7558,0.4333,0.4545,1.2203,-0.5023
126,1.1479,0.6509,-0.4178,-0.319,0.1469,0.4084
127,-0.0233,0.7954,-0.0504,2.5041,0.1988,0.295
128,-1.1684,-1.0174,0.2337,-0.3359,1.4475,0.3384
129,0.3868,2.2041,2.2937,2.0833,0.0672,-0.2343
130,0.8651,-0.0127,0.1825,-0.5012,-0.7245,0.3301
131,-0.4067,0.4968,0.9702,1.7499,0.3711,-0.3586
132,1.7141,1.0955,1.0399,-0.2373,0.5523,-0.6069
133,1.7883,0.4071,1.1776,-0.6448,-0.7237,-1.5545
134,-0.8842,0.7761,-0.3459,1.9444,-1.3346,1.7319
135,2.1443,-1.6426,0.5664,1.4416,0.9479,-0.7217
136,-0.2231,1.4548,1.3377,-0.056,2.061,-0.0667
137,-0.0633,-0.0312,1.0069,0.3259,1.1489,-0.1567
138,1.8489,1.588,2.279,1.7153,0.8059,0.0661
139,2.133,-1.4597,2.0526,1.204,0.0969,1.3785
140,0.0013,0.7147,-0.2151,1.7184,-2.2215,-0.5582
141,-1.1142,-1.0175,-0.754,0.4781,-0.3582,-0.5546
142,0.0347,-0.2703,0.5463,0.7981,1.8343,-0.3165
143,0.2496,0.0485,0.9015,1.0796,1.0066,0.0485
144,1.2811,0.8195,-0.2081,0.6472,-1.1766,0.6585
145,0.6755,1.0588,-0.2973,-0.3112,-0.3917,-1.2312
146,-0.2047,0.1365,-0.2673,-0.553,-1.0062,-2.0385
147,-0.3662,0.6784,0.0647,0.1588,2.8281,-1.2063
148,-0.3281,2.9362,0.0226,-0.7775,-1.223,3.4078
149,0.7469,0.1194,-0.2792,0.8682,-0.4533,1.2356
150,2.3338,0.7534,0.2981,0.2837,1.1109,-1.5736
151,2.6446,0.1276,0.3263,-1.7075,1.355,-1.283
152,0.7082,2.2704,0.4929,0.7967,-0.0938,1.3661
153,0.6552,-1.024,0.645,0.4781,-0.3091,-0.5353
154,0.5567,0.2175,-0.0192,0.5099,0.614,-0.8283
155,-0.0801,0.8003,0.7774,-1.9046,-0.9452,0.5139
156,0.4147,1.0447,2.353,-1.173,0.6356,-0.554
157,1.7396,-0.8737,-0.1161,0.1156,-0.1876,-1.1142
158,-0.1695,-0.9131,-1.295,1.1741,-0.6359,-0.5672
159,-0.1203,0.8958,0.9126,0.6594,-0.2555,-1.2072
160,-0.5516,1.3691,-0.8301,1.0456,-1.64,-0.192
161,1.3258,0.072,-0.9294,-0.9837,-1.0294,-1.2911
162,0.047,-1.0125,0.3859,0.1167,2.9149,0.3073
163,1.0236,0.8374,-0.8289,-0.3435,-2.0151,1.2996
164,0.0591,-0.8453,-1.2626,-0.976,0.7468,-1.4402
165,1.1555,-0.8837,0.8384,-0.4625,-0.6239,-1.1363
166,-0.239,0.5424,-1.7679,1.9545,-1.8318,1.1041
167,0.2228,-0.0072,-0.3878,2.3853,1.3703,-1.0819
168,1.0064,0.6266,-1.6911,-2.2746,0.4418,-0.2162
169,2.1681,0.1051,0.5101,1.5572,-1.6799,-0.9434
170,0.6803,-0.4659,0.2313,-2.0145,-1.1036,-0.9571
171,3.33,-0.1136,-1.7956,-0.7401,1.0955,0.7791
172,1.0041,0.8534,0.2317,-1.6071,0.3201,-0.4195
173,1.0807,0.883,0.1622,-0.0943,-1.3689,-0.1913
174,-0.5808,-0.4974,0.1098,1.0099,-0.7901,-2.6555
175,-0.1466,-0.6254,-0.316,-0.5645,1.4536,-0.5011
176,-0.1352,0.2758,-0.4367,-1.4365,0.2205,-0.9986
177,0.5815,0.4543,-1.1485,-1.3336,-0.7254,-1.4206
178,-0.4338,-0.4678,-1.2888,-0.4509,-0.3659,-0.9347
179,-0.9268,-1.7061,-2.1505,-1.0624,-2.3936,0.441
180,-1.4003,0.9286,-1.5728,0.5212,-0.8315,0.362
181,0.1069,2.4144,-0.7311,-1.497,-0.1443,-0.196
182,-1.3436,0.5986,-0.6803,-0.0826,1.8321,0.5105
183,-1.243,-0.6744,-2.0544,0.6106,0.4836,-0.7758
184,0.3921,-0.2998,-0.5527,0.3632,0.4571,0.3401
185,0.7334,0.7881,0.1654,-1.2453,-0.9474,-0.5354
186,-0.0656,0.5213,-1.5418,0.0623,-0.3246,-1.7328
187,-0.5419,-1.3428,-1.5337,-1.4211,-0.5532,-0.5556
188,-0.2346,1.4486,0.4053,-0.9378,-0.2274,0.1962
189,-0.2214,-0.5679,-0.5789,-3.1668,0.5817,0.3813
190,-0.8209,0.4996,0.035,0.2221,-1.5109,1.8583
191,-1.7679,-1.4709,0.4857,0.8902,-0.0325,-0.12
192,-1.0712,0.055,-1.2702,-1.1417,-0.1542,0.9457
193,-0.3846,0.0691,-1.055,-1.701,-1.2432,-0.3469
194,0.3956,2.4863,0.1583,-0.2614,1.227,-0.7543
195,-0.0863,-1.1908,0.3701,0.319,-0.8412,0.0664
196,-0.8913,-0.5309,-1.8756,-1.0126,-0.9591,0.6664
197,-0.2598,-1.4686,-0.8846,-0.3682,-0.7371,0.8697
198,-1.4083,0.394,-0.7481,0.5282,0.2913,-0.2123
199,0.8,-0.7863,-0.8506,-1.3297,-0.7252,0.1251
