time,ROI-001,ROI-002,ROI-003,ROI-004,ROI-005
45,0.364,-0.837,0.107,-2.071,-1.174
46,-0.744,0.046,-0.88,0.309,0.784
47,0.029,1.339,0.682,-0.259,-0.997
48,0.22,0.422,0.457,0.022,-1.086
49,0.354,-1.105,-0.233,-0.551,-1.211
50,0.773,0.384,-0.101,-0.638,-0.625
51,0.432,-0.726,-0.06,0.131,-0.032
52,0.555,0.67,0.7,0.866,1.585
53,0.406,-0.391,-2.117,-1.026,-1.113
54,-0.811,0.108,0.676,-0.128,1.439
55,0.032,-1.048,-1.683,-1.181,0.065
56,-0.734,0.473,0.999,0.264,0.644
57,-0.41,-0.018,-2.574,-0.462,0.463
58,0.101,0.942,1.609,-0.536,1.246
59,0.014,0.004,0.633,0.434,0.936
60,1.247,1.439,-0.97,0.616,0.186
61,-0.09,1.379,1.156,-1.876,1.707
62,-0.628,0.933,-1.028,-1.419,0.672
63,-0.455,0.329,-1.656,-1.674,-0.311
64,0.771,-0.286,-0.869,1.062,-0.501
65,-0.376,0.406,0.344,-1.981,0.286
66,1.072,-0.958,-0.415,-0.394,-1.997
67,-0.864,0.878,1.161,-0.475,1.479
68,0.486,-1.021,0.16,0.232,-0.448
69,-0.766,-0.875,-0.027,0.743,-0.501
70,0.682,0.842,-0.459,0.424,-0.158
71,-0.633,0.015,0.15,0.746,-0.812
72,-0.53,1.658,-0.411,1.139,0.614
73,-0.459,0.199,-0.167,0.294,-1.984
74,0.969,0.819,1.404,-0.431,-0.648
75,1.603,2.107,-2.401,0.153,0.74
76,-0.655,0.793,-0.009,-0.619,2.077
77,0.724,-1.231,-0.56,-0.142,0.817
78,-0.661,0.376,-0.453,-0.998,-1.613
79,-0.198,0.294,0.683,-0.348,2.797
80,-0.072,-0.607,-0.389,0.001,0.73
81,0.078,-1.367,0.014,0.033,0.817
82,0.388,-0.172,-2.022,1.741,1.384
83,0.17,1.175,-0.276,-0.958,-1.083
84,0.756,0.823,-1.446,0.594,-1.756
85,-0.261,-0.716,-1.365,1.305,-0.567
86,2.298,0.511,0.246,0.01,0.415
87,-0.218,0.482,0.897,-0.391,0.118
88,-1.808,0.72,-0.902,0.565,0.214
89,-0.646,0.162,1.273,-0.547,1.129
90,-0.079,-0.138,0.403,0.225,-0.786
91,-1.267,-2.514,-0.367,0.831,0.119
92,-0.254,-1.89,0.786,-1.09,0.72
93,0.493,-1.261,0.536,1.56,-0.405
94,0.443,0.323,0.09,-0.685,-1.589
95,-0.988,0.116,-0.579,-0.056,-0.866
96,1.275,-0.057,-0.778,-0.356,-0.272
97,-0.352,1.109,0.141,1.151,0.219
98,-0.123,-0.737,1.186,0.923,0.558
99,-0.213,1.052,0.631,0.308,0.439
100,0.545,0.585,0.312,0.961,0.857
101,0.259,0.136,1.727,-0.196,2.681
102,-0.882,-1.495,-1.344,-1.056,0.084
103,-1.191,0.631,0.664,1.119,0.181
104,-1.13,-0.459,0.28,0.016,-0.238
105,0.342,-0.195,0.074,-1.541,-1.144
106,-1.123,-0.352,-1.721,1.381,0.287
107,1.461,-0.417,-0.826,-0.434,-0.187
108,-1.311,-1.568,0.743,-0.554,0.974
109,0.655,-0.546,-2.042,0.01,0.575
110,0.299,-0.593,0.873,-1.804,1.283
111,-0.046,-0.764,-0.013,1.208,-0.782
112,0.107,2.273,-1.494,0.429,-0.884
113,0.607,0.022,0.189,0.707,0.57
114,1.037,3.14,-1.16,0.386,0.342
115,0.49,0.295,-1.287,-1.014,0.328
116,0.385,1.534,-1.498,0.832,-2.838
117,-0.374,0.248,0.185,-1.395,1.76
118,-1.356,-0.339,1.596,-1.82,-0.28
119,-0.903,1.244,-0.983,0.304,0.605
120,-1.266,-0.776,-0.308,0.083,-0.575
121,-0.021,0.707,-0.615,-1.903,1.486
122,1.255,0.313,-3.117,-0.061,0.028
123,-0.811,-1.526,-0.688,0.802,-0.904
124,-0.219,-1.12,-1.996,-2.618,0.53
125,1.264,0.108,-1.415,0.127,-0.442
126,0.577,-0.74,-1.61,-0.716,1.05
127,-0.645,-0.375,-1.4,1.767,-0.889
128,-1.657,1.747,1.132,0.753,-1.943
129,-1.005,-0.084,-0.196,0.377,-0.622
130,-0.35,0.464,0.167,-0.238,-0.775
131,-0.391,0.506,1.259,-0.515,-0.31
132,-0.73,-0.79,-0.348,-1.327,0.077
133,0.51,0.433,-0.465,0.501,-1.239
134,0.083,1.265,-0.065,0.013,-0.494
135,-0.117,-1.451,0.637,0.906,-0.992
136,-1.572,-1.025,-0.449,1.581,1.095
137,-0.132,1.228,-0.938,0.18,-0.513
138,1.05,0.063,-1.374,-1.063,1.431
139,-1.973,0.156,-0.839,-0.895,0.188
140,-0.44,0.097,-0.286,0.19,-1.56
141,-1.635,0.435,1.791,-0.685,1.009
142,0.181,-0.429,-0.648,0.002,-0.375
143,2.128,-0.851,0.175,0.52,-0.588
144,-0.332,0.762,-0.919,-0.475,-0.787
145,0.755,-0.836,1.059,1.04,-0.293
146,0.132,0.918,0.707,0.035,-0.642
147,-0.795,1.069,-0.593,-1.016,-0.398
148,0.76,0.573,1.709,-0.154,-1.008
149,-0.547,-1.039,-0.916,-1.381,0.32
150,0.399,-0.561,-1.014,-2.875,2.08
151,0.636,-0.215,-0.539,-0.875,2.07
152,-0.524,0.199,-1.294,-0.21,-0.17
153,0.525,-1.435,0.903,0.832,2.408
154,0.538,0.598,0.451,-0.414,0.083
155,0.179,1.535,0.918,1.297,-0.825
156,0.931,-2.637,0.169,-1.398,1.305
157,0.987,0.402,-0.707,-0.616,0.588
158,-0.016,0.686,0.157,-1.088,-0.565
159,-0.259,0.166,0.95,0.578,-0.778
160,-0.361,0.632,0.826,0.089,0.611
161,-0.742,2.392,0.074,0.081,-0.758
162,-1.216,0.733,-0.759,1.435,1.364
163,-1.134,1.31,-0.254,0.372,0.537
164,-0.999,-1.001,0.475,0.053,1.804
165,-0.549,-0.963,-1.405,0.855,0.892
166,0.54,0.462,1.275,-0.231,-0.87
167,1.635,0.035,0.303,0.041,0.659
168,1.146,2.009,0.787,0.119,0.782
169,-0.113,0.731,-0.381,1.194,-0.012
170,-0.611,0.639,0.76,1.422,0.22
171,-0.905,0.897,0.922,1.108,0.033
172,0.201,-1.251,0.647,-0.741,-0.384
173,0.073,-0.623,0.399,-0.328,1.886
174,-0.548,0.01,-1.364,-0.381,1.772
175,-0.894,1.1,-0.282,0.891,0.23
176,-1.155,0.061,-1.698,-0.071,-0.023
177,-0.166,2.202,0.658,2.459,0.781
178,-0.82,-0.483,-0.397,-0.409,-0.928
179,-1.488,1.361,-1.013,0.325,1.009
180,-0.444,-0.761,-0.555,0.324,-0.604
181,-0.028,0.695,1.787,-0.282,-2.218
182,1.832,-1.104,-0.502,0.002,0.114
183,-0.486,-0.495,1.078,0.792,1.727
184,-0.115,-0.296,-1.89,-0.031,-0.782
185,-2.501,0.071,-0.313,0.894,0.728
186,-0.219,0.281,0.876,0.15,0.175
187,-0.409,-0.249,-0.7,-0.148,1.297
188,-1.568,0.257,0.215,0.786,0.621
189,-0.785,0.111,1.246,-0.158,1.812
190,-1.531,-0.554,-1.156,-0.231,0.528
191,0.013,0.427,-0.704,-1.314,-0.51
192,-0.318,-0.354,1.021,0.752,0.147
193,-1.079,0.615,-0.346,-0.062,-0.817
194,0.685,-0.277,2.567,-0.37,0.39
195,-0.081,-0.974,-1.306,0.492,1.274
196,-1.747,-1.227,-0.78,0.734,-1.364
197,1.966,-0.963,0.131,-1.243,0.757
198,-0.741,-0.722,-1.295,-2.672,0.314
199,-0.0,0.459,-0.395,-0.534,0.555
200,-0.863,0.021,1.455,0.28,0.242
