time,ROI-001,ROI-002,ROI-003,ROI-004,ROI-005
120,-1.469,-0.355,1.658,0.518,0.882
121,1.834,0.795,-1.424,0.288,1.315
122,1.957,-0.439,1.25,-0.978,-1.378
123,0.652,0.832,-0.677,0.997,0.146
124,0.228,0.522,-0.151,0.282,0.393
125,2.866,0.405,-0.738,0.222,0.11
126,-0.446,-0.297,0.276,-0.406,-1.175
127,-2.034,-1.516,0.76,0.611,0.478
128,-0.896,-0.933,0.455,0.004,-0.261
129,-0.013,1.158,-0.548,-0.602,0.883
130,0.719,1.164,-0.167,1.236,0.085
131,-0.322,-0.681,-0.52,-1.546,-0.317
132,-0.106,2.033,-0.937,-0.692,-0.154
133,-0.004,-0.295,-0.78,1.612,-0.543
134,-0.386,-0.492,-0.162,-1.004,0.399
135,-1.417,0.685,0.108,0.422,-1.094
136,0.642,1.626,-0.319,2.218,-0.316
137,0.516,-0.596,2.248,0.19,0.441
138,-0.082,1.189,0.861,1.726,0.37
139,-0.394,0.263,-0.211,0.082,0.789
140,1.758,-0.916,-1.025,1.084,-0.581
141,0.901,0.212,-0.122,0.213,0.516
142,-0.601,1.695,-0.881,1.497,-0.899
143,0.213,-0.843,-0.323,-0.288,0.474
144,-1.584,-0.116,-0.949,0.4,1.555
145,0.945,1.391,0.957,-0.157,0.592
146,1.931,0.434,0.787,0.045,1.621
147,0.561,2.803,-0.875,0.231,0.874
148,1.188,-0.64,1.429,-1.985,-0.233
149,-0.056,-1.059,0.384,-0.86,-1.219
150,1.151,-1.559,0.253,-1.605,0.149
151,-0.26,0.893,-1.287,0.02,0.063
152,0.847,-0.76,-0.893,-0.214,-0.196
153,0.26,0.012,0.462,-0.328,-0.026
154,-1.111,-0.965,0.994,1.476,0.355
155,-0.023,-0.43,0.022,0.192,-1.192
156,-0.088,1.374,-0.617,-2.445,-0.295
157,-1.678,-0.557,0.91,-2.518,-1.995
158,0.609,0.307,1.084,0.695,-0.797
159,0.164,1.095,0.019,1.704,-0.916
160,-0.015,0.234,-0.707,0.925,-0.174
161,1.024,0.675,1.681,-1.187,-0.283
162,0.615,-1.498,0.292,-0.543,2.163
163,-0.348,0.099,1.628,-0.563,-1.119
164,0.885,-0.838,-1.016,-0.777,0.128
165,-0.08,1.298,-0.636,0.675,0.347
166,-0.558,-1.167,0.808,0.458,0.312
167,-1.193,0.858,0.936,0.196,-1.593
168,0.463,0.229,-0.146,-0.864,1.184
169,-2.333,-0.585,-0.289,0.882,-0.795
170,1.118,0.371,-0.615,-0.11,0.218
171,-0.433,0.425,0.549,-0.885,-0.171
172,0.501,-1.473,-1.157,0.523,-0.458
173,0.023,1.544,2.379,0.784,-0.824
174,-0.45,-0.046,0.988,-0.591,1.682
175,1.658,-1.751,-0.055,-0.156,-0.478
176,0.229,-0.508,0.879,1.368,0.877
177,-0.371,-1.408,-0.715,0.335,2.009
178,0.858,0.501,-0.875,0.133,0.236
179,0.808,0.425,1.288,-0.849,0.577
180,-1.504,0.41,-1.593,-0.403,0.552
181,0.745,0.184,0.005,-0.851,0.877
182,-1.107,1.114,1.253,-0.267,0.628
183,-0.176,-0.004,-0.027,2.852,0.307
184,-0.98,-0.587,0.734,-0.249,1.045
185,-1.361,-1.103,0.957,-1.106,-0.064
186,-0.548,-0.256,-1.473,-3.022,0.46
187,-2.983,0.344,-0.462,-0.097,-0.236
188,-0.063,1.981,-0.714,0.475,1.012
189,-0.094,-2.019,-0.67,0.605,1.075
190,-1.591,-1.209,-0.464,3.402,0.052
191,-0.427,-0.945,0.908,-0.78,-1.456
192,-0.241,0.051,0.476,-0.801,-0.074
193,-1.757,-0.587,1.092,0.148,0.726
194,-0.037,0.164,-0.095,-0.208,1.75
195,-1.353,-1.521,-0.098,0.625,0.29
196,0.061,0.174,1.974,0.587,-1.714
197,0.104,-0.359,-1.659,-0.764,0.622
198,-0.799,0.315,-0.587,1.249,0.371
199,2.711,0.42,-1.192,0.778,1.667
200,2.067,-0.015,-2.219,1.153,0.252
