time,ROI-001,ROI-002,ROI-003,ROI-004,ROI-005
86,0.117,0.177,1.048,-0.053,-0.797
87,1.033,-0.308,1.074,0.484,-2.171
88,1.141,-1.457,0.398,-1.046,-0.201
89,0.318,0.33,0.914,-0.754,0.027
90,0.635,1.022,0.043,-0.666,-1.732
91,1.214,0.887,0.649,-0.307,0.733
92,-0.352,-0.716,-1.421,-0.533,-0.202
93,-1.37,-1.042,-1.247,-0.48,0.073
94,1.129,0.352,-0.071,-0.076,-0.37
95,-0.797,-0.344,-0.582,0.447,-0.152
96,-1.675,0.433,0.071,-1.67,-0.308
97,-0.272,-0.685,2.349,0.236,1.155
98,-0.414,-0.091,-0.951,0.147,-0.025
99,0.619,-0.704,-0.304,-1.422,-1.319
100,-0.033,0.24,-1.982,-0.453,-0.089
101,-0.99,-0.642,-1.152,0.137,0.145
102,0.36,-0.376,1.666,0.659,-0.862
103,0.909,0.271,-0.481,0.794,-0.117
104,0.019,-0.299,-0.689,0.683,-0.82
105,-0.654,3.007,-0.783,0.232,-0.093
106,0.39,-0.919,0.456,1.864,-2.087
107,1.635,0.617,1.989,1.184,-0.261
108,-0.586,0.517,-1.533,0.713,0.451
109,1.238,0.353,-1.171,0.579,-1.283
110,-0.439,0.129,0.273,1.323,0.875
111,0.312,-1.869,0.711,-0.204,-1.236
112,2.344,0.183,0.342,0.709,-1.251
113,1.371,-0.056,-0.754,-1.238,-0.471
114,1.306,0.424,-0.859,-0.586,-0.945
115,-1.18,1.904,0.674,-0.046,-1.676
116,-0.453,0.482,-0.644,-0.753,0.514
117,2.151,-0.287,0.486,-2.118,-0.037
118,0.902,0.521,-0.303,-0.162,-0.559
119,0.35,0.213,1.193,1.184,-0.996
120,0.624,-0.712,1.124,0.771,0.154
121,-1.576,0.359,-0.075,0.27,1.588
122,-0.321,-0.91,-1.562,-0.661,0.283
123,0.318,-1.403,0.429,2.318,-0.206
124,-2.33,-2.558,0.142,-0.192,-0.684
125,1.273,1.186,1.049,-0.742,0.406
126,-0.446,0.967,-1.487,-0.819,-1.127
127,0.475,0.949,0.111,-1.546,0.653
128,1.696,-0.399,2.251,-0.793,1.168
129,-1.296,1.673,0.418,0.552,-0.371
130,-0.07,-1.048,0.902,1.144,-1.27
131,-0.689,1.474,-0.61,0.82,-0.717
132,-0.139,0.8,0.53,-0.843,0.025
133,0.486,2.367,0.151,-0.621,1.814
134,-1.469,-0.341,-1.046,-0.583,-0.433
135,-1.019,0.533,-1.017,0.39,-1.717
136,0.329,0.679,-0.041,-0.677,-0.375
137,-0.433,-1.649,1.399,1.148,-2.203
138,-0.982,0.524,0.905,-0.388,-0.662
139,-2.659,0.649,-0.188,-0.48,-0.976
140,0.797,-0.52,0.801,-1.883,-1.202
141,-0.405,0.915,-0.31,-1.011,0.932
142,0.241,-0.667,-1.041,-1.422,0.943
143,0.274,-0.589,1.516,-0.264,-0.667
144,-0.227,1.063,1.54,0.879,-0.635
145,-1.096,0.273,-0.195,0.943,-1.226
146,-0.5,-1.426,0.613,0.496,0.372
147,-0.668,-0.615,-2.616,-0.069,0.296
148,0.366,-0.809,1.344,-1.09,1.25
149,-0.957,0.177,1.185,-1.235,-0.33
150,-0.268,0.461,1.181,-0.151,0.478
151,-0.102,-3.274,-0.462,0.108,1.689
152,-0.592,0.394,-0.164,-0.812,1.616
153,1.121,0.268,-0.621,1.22,0.726
154,-1.328,0.479,0.891,1.48,0.713
155,-0.126,-1.462,-0.25,1.942,-0.36
156,-0.736,-0.251,-0.938,1.212,0.757
157,-0.193,-0.276,-1.325,-0.17,0.556
158,0.928,-1.589,-0.482,-1.406,-1.063
159,1.071,-0.012,-2.47,1.29,0.74
160,-1.183,-0.232,-0.909,1.984,1.006
161,1.032,-0.631,1.249,-1.195,-0.157
162,0.599,0.474,-0.203,1.093,-1.561
163,-0.081,0.426,0.622,-0.903,0.45
164,-0.698,0.103,-0.135,-1.639,-1.129
165,-0.593,0.888,-1.57,-1.002,1.198
166,0.063,0.423,-0.364,0.294,0.773
167,-0.001,-0.588,-1.53,-1.661,0.494
168,-0.012,-0.094,0.207,-0.41,-0.727
169,-0.22,2.388,-1.787,-1.659,-0.006
170,-2.281,-0.885,-1.825,1.192,-0.839
171,1.124,0.518,0.242,1.149,-1.0
172,0.849,-0.962,-0.367,1.145,-0.811
173,1.601,-0.563,-0.807,0.942,0.411
174,-1.322,-0.804,0.312,-0.23,0.026
175,-0.857,1.657,0.787,0.579,-0.019
176,1.373,0.091,-1.048,0.868,1.48
177,-0.274,2.627,-0.138,0.097,-0.192
178,0.468,0.398,-0.816,0.289,-1.158
179,-1.274,0.216,1.526,1.045,-0.609
180,1.5,0.041,-1.889,-0.924,-0.612
181,0.911,0.647,-0.096,-1.159,0.698
182,-0.57,0.395,0.088,2.193,1.444
183,-0.846,-0.113,0.142,2.897,0.072
184,-0.333,0.015,-0.814,-0.818,0.268
185,-0.643,0.161,1.487,-0.766,0.142
186,-0.214,-1.875,1.281,-0.522,2.951
187,1.777,-0.778,-0.701,0.246,-0.321
188,1.108,-1.185,-1.076,-0.896,-0.004
189,0.29,-0.125,-1.051,1.035,-1.22
190,-0.335,-1.636,-0.567,0.584,-0.348
191,-0.212,0.516,-0.383,-0.285,-1.991
192,-0.758,1.159,-0.472,-0.667,-0.362
193,-0.302,-1.275,-0.287,-0.859,1.425
194,0.62,0.702,-1.424,-0.408,-0.519
195,0.1,-0.287,1.895,0.077,-0.172
196,1.762,-0.273,1.309,-1.697,0.458
197,-0.952,-0.089,1.444,-0.568,0.872
198,1.89,-1.487,0.598,-1.168,-2.618
199,-0.288,-1.738,1.243,-2.046,-1.639
200,-0.51,-0.33,1.003,1.644,2.124
