time,ROI-001,ROI-002,ROI-003,ROI-004,ROI-005
47,-1.046,-3.619,-0.518,0.181,-2.568
48,-0.92,-0.881,0.168,-1.088,0.019
49,0.024,-0.974,-0.245,-0.254,2.243
50,0.018,-0.856,-0.313,-1.567,-1.585
51,-0.0,-1.177,-0.51,-0.61,-0.456
52,1.478,-0.902,1.362,0.557,0.884
53,1.356,-0.302,-0.247,0.173,-0.298
54,-0.303,0.541,-0.549,-1.186,1.297
55,0.814,-0.027,-2.388,0.375,-0.059
56,-1.461,0.925,-0.093,0.753,0.937
57,0.729,-2.359,-0.437,-0.793,1.547
58,-1.461,-0.479,1.419,-1.22,-1.412
59,0.215,1.08,-0.325,-0.469,0.221
60,-0.127,-0.174,-1.212,0.144,0.548
61,-0.215,-0.459,0.322,-0.583,0.263
62,-0.692,-2.074,0.438,-0.918,1.592
63,-1.137,-0.706,-0.412,-0.489,1.056
64,1.138,-0.296,-0.183,-0.455,0.189
65,-0.231,0.293,0.707,-0.451,0.833
66,0.388,0.362,-0.916,0.296,1.141
67,-0.605,-0.847,0.6,-0.191,0.601
68,-0.94,1.758,-0.14,0.062,0.216
69,0.001,1.674,0.484,-0.34,-3.495
70,1.12,1.035,0.585,1.193,-0.831
71,-0.488,1.037,0.844,-1.047,-0.386
72,0.772,1.126,2.158,-0.091,-0.118
73,0.604,-0.371,-1.01,-0.984,0.034
74,-0.54,1.376,1.012,1.106,-1.363
75,0.619,-0.419,0.343,0.788,-0.595
76,-0.32,-0.615,-0.92,-0.989,-0.387
77,0.617,-0.2,-1.002,-0.464,-0.131
78,2.035,0.675,1.274,0.197,-0.459
79,-0.692,-0.155,-1.477,-0.214,-1.24
80,-0.819,0.916,-0.215,0.982,-1.261
81,-0.663,-0.334,-1.115,-0.162,-0.568
82,-1.023,-0.45,1.772,0.377,-1.578
83,-1.142,0.785,1.516,-1.161,-1.091
84,2.064,1.885,-0.632,-1.122,-0.347
85,0.812,0.334,-1.077,-1.847,-0.802
86,2.429,1.348,-1.15,-1.653,1.486
87,-0.92,1.429,1.734,0.156,-0.226
88,0.197,-0.626,1.793,1.049,0.75
89,1.063,-0.535,0.134,0.134,-1.274
90,-1.825,0.762,-1.176,-0.575,-0.513
91,0.56,0.905,0.133,-1.601,0.432
92,-1.555,0.339,2.423,1.171,0.986
93,1.574,-0.291,1.052,-0.173,1.58
94,0.965,0.626,-0.522,1.167,-2.166
95,-0.079,0.028,0.583,0.844,0.964
96,0.125,-0.942,-0.944,-0.081,1.271
97,1.211,0.183,0.824,0.269,0.129
98,-1.066,-0.498,-0.759,-0.582,1.276
99,-1.366,-1.255,-2.041,-1.635,1.132
100,0.72,-2.067,-0.401,-0.297,-1.099
101,-0.112,-0.244,-1.619,-0.292,1.547
102,0.948,1.297,1.397,0.18,2.117
103,0.45,-0.806,-0.932,-0.051,1.132
104,-0.396,-1.427,0.061,-0.322,0.539
105,0.98,-0.919,-1.881,0.313,-1.127
106,4.66,1.359,-0.541,-0.936,0.142
107,0.139,0.268,-0.59,0.148,0.295
108,0.87,-0.169,0.748,-0.482,-1.422
109,-1.381,0.184,-0.894,-1.029,-2.056
110,-0.416,1.219,-1.505,0.027,0.5
111,0.048,-0.36,0.142,0.704,-0.303
112,-0.122,0.98,-0.431,-0.486,-1.079
113,0.604,-0.853,-0.675,1.089,-0.526
114,-0.183,-0.62,2.91,-0.321,0.993
115,0.577,0.146,-1.199,-0.251,0.857
116,1.274,1.813,-0.7,0.705,0.171
117,-0.423,0.53,0.424,-0.51,1.008
118,-0.139,0.069,0.37,2.656,0.463
119,0.753,-0.771,1.075,-0.246,0.777
120,-0.215,1.861,-0.622,0.151,-0.179
121,-0.331,0.23,0.645,1.044,0.345
122,-0.536,-0.396,-0.544,-0.065,-0.853
123,-0.792,0.022,1.384,1.304,-0.15
124,0.209,-0.758,0.121,-0.82,-0.098
125,1.893,0.474,-0.472,0.413,-0.44
126,-0.955,-1.738,-0.429,-0.298,0.975
127,0.452,0.546,2.064,0.329,1.045
128,-0.251,0.022,-0.72,1.605,0.112
129,2.326,-0.447,-1.473,-1.156,-1.463
130,0.718,0.124,-0.97,0.123,-0.29
131,0.346,-0.123,0.4,1.59,0.678
132,-0.455,-0.401,-0.507,-0.474,-1.251
133,0.983,-1.482,-0.464,-1.989,0.715
134,2.061,0.439,0.997,0.036,-1.077
135,-0.331,0.735,0.831,0.599,1.024
136,-0.732,-0.904,-0.112,-0.422,-1.469
137,2.111,-0.748,0.152,-0.59,-0.876
138,-1.908,0.083,0.278,-1.401,0.141
139,1.645,0.08,-0.91,-0.232,-0.367
140,-0.926,-1.814,1.59,-0.693,-0.886
141,-1.299,1.151,0.762,0.609,-0.796
142,1.171,0.132,-1.344,1.512,1.998
143,1.106,1.418,1.017,-2.33,0.592
144,-0.537,0.708,0.011,0.539,-0.45
145,-0.081,-0.337,-0.429,0.093,-0.799
146,-0.262,-0.418,1.104,-0.804,-0.537
147,1.105,-0.855,0.211,0.655,0.255
148,1.584,0.287,1.076,0.216,0.529
149,-0.694,0.052,-1.817,-0.837,-1.222
150,1.074,-1.006,1.602,0.385,2.123
151,1.169,-0.504,0.856,-1.207,-1.078
152,0.461,0.425,1.257,-0.718,2.215
153,0.856,1.245,0.207,-1.722,-0.923
154,-0.442,1.166,0.12,-2.034,1.312
155,-0.496,-0.889,1.042,1.7,0.522
156,-0.451,-0.544,1.918,-0.367,0.772
157,0.281,-0.886,1.593,-0.77,-0.795
158,1.487,-0.919,-0.9,-0.231,-0.186
159,1.391,0.527,0.872,-1.904,-1.604
160,-0.208,-0.438,-1.843,-1.163,-0.504
161,-1.256,-1.028,1.23,0.293,1.265
162,0.35,0.079,2.059,-0.274,-1.605
163,1.107,0.634,-0.272,0.913,3.066
164,-0.656,-1.158,-1.285,-1.796,0.22
165,-0.518,-0.73,-0.663,-0.271,1.18
166,-1.177,-0.509,-1.113,-0.314,-1.079
167,2.199,1.543,0.503,0.597,-0.258
168,-0.288,-0.062,-0.8,-0.904,0.446
169,-0.155,1.336,-0.738,1.508,-0.781
170,-0.311,0.476,0.458,-1.951,-0.298
171,-1.203,-0.48,-0.456,0.054,0.16
172,0.754,1.162,0.301,-0.539,-0.242
173,-0.268,-0.072,-0.328,0.507,-0.67
174,-0.099,0.28,0.195,-0.235,0.082
175,-0.862,1.078,0.249,1.025,-1.507
176,-0.486,-1.214,1.566,-0.482,-1.837
177,-1.345,2.134,-0.056,1.345,-1.487
178,0.947,0.205,-0.304,-0.48,0.047
179,0.714,1.373,1.271,0.585,-0.533
180,0.385,-1.21,0.243,-0.131,1.071
181,-0.852,-0.483,-0.301,-1.153,-1.695
182,1.828,1.404,-1.245,1.294,-0.129
183,-1.022,-0.866,-0.627,-1.65,1.486
184,-0.216,0.798,-0.531,0.563,1.434
185,-1.823,-0.309,0.359,1.607,-0.429
186,-0.316,0.905,-0.17,0.636,0.854
187,0.431,0.838,0.653,1.777,1.333
188,0.179,-0.97,-0.757,1.574,-0.723
189,-0.587,-0.139,-1.124,0.008,-0.636
190,-0.142,0.883,-0.434,-1.501,1.44
191,-1.516,0.092,0.261,0.226,-0.695
192,-0.634,1.048,-0.404,-1.269,-0.686
193,-1.103,0.473,-0.909,2.078,1.614
194,0.04,-0.743,1.173,0.363,0.188
195,1.788,0.218,-0.661,0.478,0.133
196,0.905,-0.801,-1.674,-0.442,0.058
197,-0.726,0.613,0.496,0.258,-1.633
198,1.225,0.925,0.626,1.977,0.396
199,0.823,-0.984,-0.199,-1.486,-0.034
200,-1.019,0.831,-0.293,-1.23,-0.878
